Item,Category,Calories,Fat Calories,Fat,Saturated Fat ,Trans Fat ,Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Weight Watchers
French Toast Sticks (5 piece),Breakfast,380,160,18,3,0,0,430,49,2,13,5,391
American Cheese (slice),Breakfast,40,30,3.5,2,0,10,180,1,0,0,2,40
Ketchup (Packet),Breakfast,10,0,0,0,0,0,125,3,0,2,0,12
Mayonnaise (Packet),Breakfast,80,80,9,0.5,0,10,75,1,0,0,0,81
Strawberry or Grape Jam (packet),Breakfast,30,0,0,0,0,0,0,7,0,6,0,36
Breakfast Syrup (1 oz),Breakfast,120,0,0,0,0,0,15,30,0,18,0,138
Barbecue Dipping Sauce (1 oz),Breakfast,40,0,0,0,0,0,310,11,0,10,0,50
Ranch Dipping Sauce (1 oz),Breakfast,140,140,15,2.5,0,10,85,1,0,1,1,143
Buffalo Dipping Sauce (1 oz),Breakfast,80,70,8,1.5,0,5,360,2,0,1,0,83
Zesty Onion Ring Dipping Sauce (1 oz),Breakfast,150,140,15,2.5,0,20,240,3,0,0,0,153
Honey Mustard Dipping Sauce (1oz),Breakfast,90,60,6,1,0,10,180,8,0,7,0,98
